Name,ORE_sdE3_r1_GTGGCC_L004,ORE_sdE3_r2_TGACCA_L005,ORE_w_r1_ATCACG_L001,ORE_w_r2_GTTTCG_L002,OREf_SAMm_sdE3_ATTCCT_L002,OREf_SAMm_w_GTCCGC_L006,SAM_sdE3_r1_ATGTCA_L006,SAM_sdE3_r2_GCCAAT_L007,SAM_w_r1_ACTTGA_L003,SAM_w_r2_GAGTGG_L004,SAMf_OREm_sdE3_TAGCTT_L001,SAMf_OREm_w_CAGATC_L005
FBtr0343826,1.5352,5.28921,9.32126,7.55122,8.17216,8.02465,8.87986,9.8587,6.48417,5.58403,0.0,4.7445
FBtr0081071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11177,0.0,0.0,0.0
FBtr0343827,0.126374,0.0,0.0,0.11057,0.127616,0.161432,0.0,0.0,1.25579,0.0,0.0,0.0
FBtr0343828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.244097,0.0,0.0,0.0
FBtr0081072,26.781,22.3599,30.3037,29.0682,30.457,28.4171,31.1512,27.2392,30.5513,25.0079,20.8237,27.7629
FBtr0081073,15.2047,15.0821,14.879,15.1753,14.3537,13.2115,9.18921,9.50921,14.9819,14.4282,10.7452,14.7742
FBtr0329971,15.2047,15.0821,14.879,15.1753,14.3537,13.2115,9.18921,9.50921,14.9819,14.4282,10.7452,14.7742
FBtr0329972,3.95784,3.56267,3.49107,2.43776,3.20579,2.60469,1.35099,1.63641,2.39045,1.84237,1.73941,2.0748
FBtr0343808,4.57482,3.45658,3.59364,1.88154,1.85449,1.81615,0.193425,0.556352,0.0,0.375402,0.783255,1.70264
FBtr0081077,29.1403,15.5181,49.2444,61.5052,19.7552,24.7019,27.7893,12.4693,28.232,19.2101,14.7194,36.132
FBtr0081078,0.0209343,0.0181776,0.0493827,0.0193942,0.0207143,0.0255844,0.0194112,0.0,0.0831239,0.100224,0.0,0.0
FBtr0081079,12.9328,10.6635,14.3315,13.8923,11.9947,10.1974,16.1311,11.2693,16.9906,13.3054,9.81643,12.5082
FBtr0081080,22.7246,20.9599,23.7171,22.1249,21.5703,18.0141,25.4798,17.1658,29.8365,21.9982,16.7386,23.5786
FBtr0343829,0.769627,0.22029,1.20514,1.93035,0.886959,1.55573,0.834877,1.4977,2.52141,1.98487,0.836877,0.794519
FBtr0081081,0.0,0.0,0.0,0.0,0.0,0.0,0.0502689,0.0,0.0,0.0,0.0,0.0
FBtr0300341,0.903134,1.27483,0.757656,0.730295,0.974652,0.921646,1.0567,1.6211,1.04656,1.78982,0.746953,0.907215
FBtr0332322,1.44226,0.723954,1.39199,1.10104,1.18075,1.87896,1.45481,1.3436,0.873347,1.21956,0.317398,0.435323
FBtr0332323,5.57356,4.1616,5.05048,4.54749,3.90651,1.5689,2.97341,0.803435,3.75873,1.58645,3.06986,2.69765
FBtr0081085,2.39917,0.000194221,5.49925e-06,0.446374,2.64381,0.911866,1.46257,1.91913,0.0579209,1.12108,0.412633,0.483026
FBtr0081086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0459835,0.0,0.306289
FBtr0300675,5.12211,6.80859,8.4324,5.83222,5.42375,5.9434,5.35256,3.58712,6.37088,5.4355,3.68811,4.61057
FBtr0300676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.249131,0.0,0.125886
FBtr0081087,18.7659,15.7675,22.7949,19.2403,25.337,23.2272,37.427,25.4993,35.6002,27.6297,17.4025,24.6628
FBtr0081095,23.7618,21.6133,29.8007,32.2716,28.9512,25.4114,32.3143,30.1134,21.464,26.8041,21.3493,27.8993
FBtr0273194,1.49297,2.70504,2.82622,1.29539,2.47695,2.52411,7.01156,3.07127,7.40761,6.56353,3.59883,4.22078
FBtr0081096,8.62886,8.07638,7.2544,7.30307,7.84735,6.22274,8.97511,6.87408,8.49103,10.0434,6.46036,7.9433
FBtr0343108,0.0,0.0,0.0,0.408759,0.0,0.0,0.0,0.422972,0.570001,0.0,0.0,0.0
FBtr0081097,36.4666,28.0032,45.926,44.88,37.4916,36.5685,39.1164,27.0972,31.2802,25.0267,24.601,33.6719
FBtr0343109,0.0,1.0122,0.680982,0.0,0.770309,1.15269,1.12949,1.42786,0.777675,0.432394,0.0,0.447003
FBtr0081098,47.6164,43.0794,43.9938,49.3217,47.9126,45.6133,52.7045,44.9686,51.8464,49.0465,47.6848,44.9815
FBtr0081099,20.1384,22.2325,23.554,24.7196,25.5211,20.9588,31.3742,27.1119,29.5799,26.8127,19.0695,25.7675
